Estado;Município;Total domicílios;Água em pelo menos um cômodo;Água no terreno ou propriedade;Não tinham
Bahia;Itamotinga;4339;2563;622;1153
Bahia;João Paulo II;5377;5138;174;65
Bahia;Kidé;5328;5024;256;48
Bahia;Maniçoba;4112;3442;249;421
Bahia;Santo Antônio;4566;4408;130;27
Bahia;Lauro de Freitas;49453;47245;1654;555
Bahia;Área 001;4477;4125;352;0
Bahia;Área 002;5728;5189;485;54
Bahia;Área 003;4606;4579;0;27
Bahia;Área 004;5830;5325;420;85
Bahia;Área 005;7901;7774;29;98
Bahia;Área 006;5115;4588;296;232
Bahia;Área 007;7700;7599;62;39
Bahia;Área 008;8096;8065;10;20
Bahia;Livramento de Nossa Senhora;11394;9243;259;1893
Bahia;Área 001;4615;3653;94;867
Bahia;Área 002;6779;5589;165;1025
Bahia;Luís Eduardo Magalhães;17777;17004;695;78
Bahia;Área 001;4127;3883;204;40
Bahia;Área 002;6426;6094;333;0
Bahia;Área 003;7224;7028;159;37
Bahia;Macaúbas;12094;10127;994;973
Bahia;Área 001;4141;3048;705;388
Bahia;Área 002;7953;7079;289;585
Bahia;Maragogipe;12042;9330;643;2069
Bahia;Área 001;4063;2640;349;1074
Bahia;Área 002;7979;6690;294;996
Bahia;Mata de São João;11698;9487;833;1378
Bahia;Área 001;5387;4658;299;430
Bahia;Área 002;6311;4830;534;948
Bahia;Monte Santo;14505;3934;386;10185
Bahia;Área 001;6836;3005;322;3510
Bahia;Área 002;7669;929;64;6675
Bahia;Morro do Chapéu;9933;6373;1583;1977
Bahia;Área 001;4178;1861;1035;1281
Bahia;Área 002;5755;4512;547;696
Bahia;Mucuri;10547;7473;665;2409
Bahia;Área 001;4223;3054;270;899
Bahia;Área 002;6324;4420;395;1510
Bahia;Nova Viçosa;11181;8748;704;1730
Bahia;Área 001;5020;3739;400;882
Bahia;Área 002;6161;5009;304;848
Bahia;Paulo Afonso;31183;28611;701;1871
Bahia;Área 001;4398;4203;195;0
Bahia;Área 002;4139;2480;257;1401
Bahia;Área 003;6545;6478;35;31
Bahia;Área 004;7860;7573;145;142
Bahia;Área 005;8241;7877;68;296
Bahia;Poções;12897;9965;1193;1738
Bahia;Área 001;6426;5243;253;930
Bahia;Área 002;6471;4722;940;808
Bahia;Pojuca;9605;8406;249;950
Bahia;Área 001;4542;4489;8;44
Bahia;Área 002;5063;3916;241;905
Bahia;Porto Seguro;38367;32812;2347;3208
Bahia;Área 001;4428;4159;185;85
Bahia;Área 002;4839;3462;417;960
Bahia;Área 003;4482;4231;78;173
Bahia;Área 004;4440;2552;717;1170
Bahia;Área 005;4788;4293;259;236
Bahia;Área 006;6927;6337;324;266
Bahia;Área 007;8463;7777;366;319
Bahia;Remanso;10603;6329;658;3617
Bahia;Área 001;6197;4675;441;1081
Bahia;Área 002;4406;1654;216;2536
Bahia;Riachão do Jacuípe;10156;7996;257;1904
Bahia;Área 001;4133;2504;136;1493
Bahia;Área 002;6023;5492;121;410
Bahia;Ribeira do Pombal;13839;12313;928;599
Bahia;Área 001;6326;6085;217;25
Bahia;Área 002;7513;6228;711;574
Bahia;Rio Real;10645;8033;389;2222
Bahia;Área 001;4286;3052;81;1154
Bahia;Área 002;6358;4981;308;1069
Bahia;Salvador;858496;824931;28290;5275
Bahia;Área 001;11788;10790;870;128
Bahia;Área 002;9197;7665;150;1382
Bahia;Área 003;14115;13520;573;22
Bahia;Área 004;13733;13515;218;0
Bahia;Área 005;17711;17429;215;67
Bahia;Área 006;3322;3269;53;0
Bahia;Área 007;21118;20495;580;43
Bahia;Área 008;14829;14562;251;15
Bahia;Área 009;31266;30125;1097;43
Bahia;Área 010;12987;11502;1433;52
Bahia;Área 011;10434;10366;68;0
Bahia;Área 012;18277;17284;865;127
Bahia;Área 013;38394;37928;301;165
Bahia;Área 014;15464;14650;688;126
Bahia;Área 015;10349;10199;77;73
Bahia;Área 016;2002;1823;119;61
Bahia;Área 017;10868;10747;106;14
Bahia;Área 018;3441;3286;137;18
Bahia;Área 019;12493;12440;0;53
Bahia;Área 020;13268;13210;58;0
Bahia;Área 021;11636;10578;1019;38
Bahia;Área 022;9025;8689;299;37
Bahia;Área 023;8879;8605;223;51
Bahia;Área 024;14688;14479;130;79
Bahia;Área 025;22043;21353;556;134
Bahia;Área 026;10661;10210;407;44
Bahia;Área 027;1872;1420;388;64
Bahia;Área 028;9168;9143;25;0
Bahia;Área 029;37855;36930;804;121
Bahia;Área 030;13333;13164;169;0
Bahia;Área 031;15873;15027;758;88
Bahia;Área 032;20161;19505;515;141
Bahia;Área 033;8768;8446;322;0
Bahia;Área 034;14108;13871;237;0
Bahia;Área 035;6203;6096;83;24
Bahia;Área 036;9063;8521;517;26
Bahia;Área 037;15159;13375;1397;388
Bahia;Área 038;18781;17747;693;341
Bahia;Área 039;8131;7652;420;60
Bahia;Área 040;19726;18643;877;207
Bahia;Área 041;24992;24124;763;105
Bahia;Área 042;11223;10593;551;80
Bahia;Área 043;10549;10215;264;71
Bahia;Área 044;11434;11185;249;0
Bahia;Área 045;30907;30217;690;0
Bahia;Área 046;21515;19182;2190;143
Bahia;Área 047;9504;9504;0;0
Bahia;Área 048;14883;14450;421;13
Bahia;Área 049;16481;16069;339;73
Bahia;Área 050;16340;16029;263;48
Bahia;Área 051;8379;7973;380;25
Bahia;Área 052;8801;8453;318;30
Bahia;Área 053;16920;15229;1487;204
Bahia;Área 054;8557;7655;863;40
Bahia;Área 055;8181;8100;81;0
Bahia;Área 056;10041;9851;190;0
Bahia;Área 057;9220;8599;579;41
Bahia;Área 058;11192;10751;359;82
Bahia;Área 059;10871;10871;0;0
Bahia;Área 060;13232;13196;18;18
Bahia;Área 061;10057;9516;490;51
Bahia;Área 062;15027;14911;97;19
Bahia;Santa Maria da Vitória;11117;9389;899;828
Bahia;Área 001;4494;4202;173;118
Bahia;Área 002;6623;5187;726;709
Bahia;Santaluz;9481;6111;364;3006
Bahia;Área 001;4225;2640;104;1480
Bahia;Área 002;5256;3471;260;1526
Bahia;Santo Amaro;17031;13438;1271;2322
Bahia;Área 001;4769;4545;113;111
Bahia;Área 002;4750;3225;414;1111
Bahia;Área 003;7512;5668;743;1101
Bahia;Santo Antônio de Jesus;27449;24202;1617;1630
Bahia;Área 001;5085;4955;75;55
Bahia;Área 002;4302;3575;548;179
Bahia;Área 003;7741;7417;213;111
Bahia;Área 004;10321;8256;781;1284
Bahia;Santo Estêvão;13140;10036;1126;1978
Bahia;Área 001;6018;4596;503;919
Bahia;Área 002;7122;5439;624;1059
Bahia;São Francisco do Conde;9436;8134;688;614
Bahia;Área 001;4459;3993;213;253
Bahia;Área 002;4977;4140;475;362
Bahia;São Gonçalo dos Campos;9009;7533;205;1270
Bahia;Área 001;4350;3815;92;442
Bahia;Área 002;4659;3718;113;828
Bahia;São Sebastião do Passé;12334;9463;1092;1779
Bahia;Área 001;4835;3051;462;1322
Bahia;Área 002;7499;6412;629;457
Bahia;Seabra;11474;8980;1840;654
Bahia;Área 001;4133;3746;353;35
Bahia;Área 002;7341;5234;1488;620
Bahia;Senhor do Bonfim;22085;19632;810;1643
Bahia;Área 001;4051;3930;62;60
Bahia;Área 002;4214;3042;169;1003
Bahia;Área 003;6601;6133;378;91
Bahia;Área 004;7219;6528;201;490
Bahia;Serrinha;21778;17635;1394;2749
Bahia;Área 001;4158;2959;288;911
Bahia;Área 002;4459;3441;526;491
Bahia;Área 003;6263;4919;454;891
Bahia;Área 004;6898;6316;126;456
Bahia;Simões Filho;34983;32226;1375;1382
Bahia;Área 001;4482;4064;232;185
Bahia;Área 002;5342;4871;214;257
Bahia;Área 003;5369;5248;52;69
Bahia;Área 004;5537;4609;230;698
Bahia;Área 005;6210;5826;339;45
Bahia;Área 006;8043;7608;308;127
Bahia;Teixeira de Freitas;40961;36494;1542;2925
Bahia;Área 001;4333;4093;80;160
Bahia;Área 002;4446;3724;180;543
Bahia;Área 003;9017;7817;671;530
Bahia;Área 004;4551;3748;218;584
Bahia;Área 005;7610;6814;217;579
Bahia;Área 006;11004;10299;175;530
Bahia;Tucano;14897;10250;2142;2505
Bahia;Área 001;7014;4068;1191;1755
Bahia;Área 002;7883;6182;952;749
Bahia;Valença;26310;21765;1052;3493
Bahia;Área 001;4013;3916;81;16
Bahia;Área 002;4046;3580;96;369
Bahia;Área 003;4031;2381;324;1326
Bahia;Área 004;6848;6402;272;174
Bahia;Área 005;7372;5486;278;1608
Bahia;Vera Cruz;11698;10505;367;827
Bahia;Área 001;4801;4291;157;352
Bahia;Área 002;6897;6214;209;474
Bahia;Vitória da Conquista;86426;77683;3236;5507
Bahia;33307-Área 01;5428;5364;38;27
Bahia;33307-Área 02;7954;7515;372;67
Bahia;33307-Área 03;6839;6692;90;58
Bahia;33307-Área 04;5675;5165;305;205
Bahia;33307-Área 05;7656;7537;88;31
Bahia;33307-Área 06;5182;5002;135;46
Bahia;33307-Área 07;5821;5507;242;72
Bahia;33307-Área 08;6392;6239;142;11
Bahia;33307-Área 09;7244;7078;100;66
Bahia;33307-Área 10;7650;7207;394;49
Bahia;33307-Área 11;7962;7178;457;327
Bahia;33307-Área 12;4379;2618;295;1466
Bahia;33307-Área 13;4014;2192;221;1601
Bahia;33307-Área 14;4230;2390;358;1481
Bahia;Xique-Xique;11598;9613;956;1029
Bahia;Área 001;4107;2604;528;975
Bahia;Área 002;7491;7009;429;54
Minas Gerais;Além Paraíba;11179;11120;21;38
Minas Gerais;Área 001;4074;4045;10;19
Minas Gerais;Área 002;7105;7076;11;18
Minas Gerais;Alfenas;23209;22904;252;53
Minas Gerais;Área 001;4190;4190;0;0
Minas Gerais;Área 002;9293;9000;240;53
Minas Gerais;Área 003;9726;9714;12;0
Minas Gerais;Almenara;11532;10427;614;491
Minas Gerais;Área 001;4103;3386;272;445
Minas Gerais;Área 002;7429;7040;343;46
Minas Gerais;Andradas;12232;12127;72;33
Minas Gerais;Área 001;4090;4078;0;12
Minas Gerais;Área 002;8142;8049;72;22
Minas Gerais;Araçuaí;9929;8384;293;1252
Minas Gerais;Área 001;4218;3704;98;416
Minas Gerais;Área 002;5711;4680;195;836
Minas Gerais;Araguari;35514;34969;441;104
Minas Gerais;Área 001;5147;4888;206;53
Minas Gerais;Área 002;4219;4176;43;0
Minas Gerais;Área 003;7074;7043;10;21
Minas Gerais;Área 004;4568;4494;74;0
Minas Gerais;Área 005;7403;7334;39;30
Minas Gerais;Área 006;7103;7034;69;0
Minas Gerais;Araxá;29305;29137;111;58
Minas Gerais;Área 001;4123;4123;0;0
Minas Gerais;Área 002;4208;4177;10;20
Minas Gerais;Área 003;4466;4466;0;0
Minas Gerais;Área 004;7345;7315;30;0
Minas Gerais;Área 005;9163;9055;71;37
Minas Gerais;Arcos;11570;11288;282;0
Minas Gerais;Área 001;4956;4683;273;0
Minas Gerais;Área 002;6614;6605;9;0
Minas Gerais;Barbacena;39528;38085;1163;280
Minas Gerais;Área 001;4114;4029;30;55
Minas Gerais;Área 002;4341;4043;235;63
Minas Gerais;Área 003;4365;4313;28;24
Minas Gerais;Área 004;4727;4695;10;22
Minas Gerais;Área 005;4631;4469;150;12
Minas Gerais;Área 006;8362;7935;385;42
Minas Gerais;Área 007;8987;8601;324;62
Minas Gerais;Belo Horizonte;762136;751258;10160;718
Minas Gerais;B1;13785;13384;401;0
Minas Gerais;B2;13238;13078;160;0
Minas Gerais;B3;16106;16005;78;23
Minas Gerais;B4-A;9080;8901;141;38
Minas Gerais;B4-B;11913;11814;74;25
Minas Gerais;B5-A;8852;8665;187;0
Minas Gerais;B5-B;12684;12550;112;22
Minas Gerais;Cs1 – A;13188;13130;58;0
Minas Gerais;Cs1 – B;11408;11333;75;0
Minas Gerais;Cs1 – C;10351;9920;431;0
Minas Gerais;Cs2 – A;9800;9621;179;0
Minas Gerais;Cs2 – B;12288;11924;363;1
Minas Gerais;Cs2 – C;8737;8737;0;0
Minas Gerais;Cs3;10906;10673;233;0
Minas Gerais;Cs4 – A;14980;14210;749;21
Minas Gerais;Cs4 – B;10735;10390;345;0
Minas Gerais;L1;18910;18691;169;50
Minas Gerais;L2-A;14061;14024;36;0
Minas Gerais;L2-B;13292;13250;42;0
Minas Gerais;L3-A;9581;9563;18;0
Minas Gerais;L3-B;8669;8653;0;16
Minas Gerais;L4;12170;11917;253;0
Minas Gerais;N1;10454;10373;58;23
Minas Gerais;N2-A;10214;10013;201;0
Minas Gerais;N2-B;8948;8800;76;71
Minas Gerais;N3-A;14943;14624;283;36
Minas Gerais;N3-B;8441;8384;57;0
Minas Gerais;N4;10982;10896;86;0
Minas Gerais;Ne1-A;8723;8670;53;0
Minas Gerais;Ne1-B;14707;14539;149;19
Minas Gerais;Ne2;12268;12087;73;108
Minas Gerais;Ne3;13401;12976;425;0
Minas Gerais;Ne4-A;8970;8757;192;21
Minas Gerais;Ne4-B;11872;11827;45;0
Minas Gerais;Ne5-A;10199;10087;112;0
Minas Gerais;Ne5-B;11419;10994;425;0
Minas Gerais;No1-A;10436;10358;36;42
Minas Gerais;No1-B;9178;9081;97;0
Minas Gerais;No2;14069;14015;54;0
Minas Gerais;No3-A;10213;10213;0;0
Minas Gerais;No3-B;8232;8207;25;0
Minas Gerais;No3-C;8922;8731;191;0
Minas Gerais;No4-A;16105;15932;173;0
Minas Gerais;No4-B;10613;10466;147;0
Minas Gerais;O1-A;10188;10188;0;0
Minas Gerais;O1-B;10981;10962;19;0
Minas Gerais;O1-C;10421;10421;0;0
Minas Gerais;O1-D;9660;9615;46;0
Minas Gerais;O2-A;9779;9732;27;20
Minas Gerais;O2-B;8590;8470;120;0
Minas Gerais;O2-C;10737;10707;30;0
Minas Gerais;O4-A;8814;8595;219;0
Minas Gerais;O4-B;9551;9538;0;13
Minas Gerais;O5;12574;12385;189;0
Minas Gerais;P1;15110;14835;185;90
Minas Gerais;P2-A;8538;8513;25;0
Minas Gerais;P2-B;9708;9693;15;0
Minas Gerais;P3;13393;13363;30;0
Minas Gerais;P4-A;9663;9606;57;0
Minas Gerais;P4-B;15374;14769;605;0
Minas Gerais;Vn1;14403;14255;109;40
Minas Gerais;Vn2;14907;14827;39;41
Minas Gerais;Vn3-A;14086;13508;578;0
Minas Gerais;Vn3-B;8721;8668;53;0
Minas Gerais;Vn4-A;9164;8948;215;0
Minas Gerais;Vn4-B;9891;9675;216;0
Minas Gerais;Vn4-C;9839;9518;322;0
Minas Gerais;Betim;112588;111483;540;565
Minas Gerais;Bandeirinha;4105;4017;45;43
Minas Gerais;Bom Retiro;6533;6508;8;17
Minas Gerais;Campos Eliseos;3984;3977;0;7
Minas Gerais;Centro;8894;8831;19;44
Minas Gerais;Citrolandia;6544;6409;29;107
Minas Gerais;Dom Bosco;6242;6211;31;0
Minas Gerais;Imbirucu;5820;5785;27;9
Minas Gerais;Jardim das Alte;5592;5582;10;0
Minas Gerais;Jardim Terezopo;7070;7043;27;0
Minas Gerais;Laranjeiras;4045;3986;44;15
Minas Gerais;Niteroi;4782;4764;9;9
Minas Gerais;Novo Horizonte;6158;6128;14;16
Minas Gerais;Parque das Indu;4928;4928;0;0
Minas Gerais;Paulo Camilo;4196;4185;0;11
Minas Gerais;Santo Antônio;5061;5039;0;22
Minas Gerais;São Caetano;6447;6447;0;0
Minas Gerais;São Joao;6215;6105;99;11
Minas Gerais;Várzea das Flor;6636;6538;23;75
Minas Gerais;Vianópolis;4387;4132;74;181
Minas Gerais;Vila Cristina;4948;4866;82;0
Minas Gerais;Boa Esperança;11584;11051;523;9
Minas Gerais;Área 001;4479;4162;317;0
Minas Gerais;Área 002;7105;6890;205;9
Minas Gerais;Bocaiúva;13449;12098;928;423
Minas Gerais;Área 001;6695;6569;126;0
Minas Gerais;Área 002;6754;5528;802;423
Minas Gerais;Bom Despacho;14546;14295;205;47
Minas Gerais;Área 001;6632;6428;183;21
Minas Gerais;Área 002;7914;7866;22;26
Minas Gerais;Brasília de Minas;8507;7441;585;481
Minas Gerais;Área 001;4283;3689;350;245
Minas Gerais;Área 002;4224;3752;235;236
Minas Gerais;Brumadinho;10562;10315;114;133
Minas Gerais;Área 001;4937;4829;67;41
Minas Gerais;Área 002;5625;5486;47;92
Minas Gerais;Caeté;11819;11611;132;76
Minas Gerais;Área 001;5043;5026;14;3
Minas Gerais;Área 002;6776;6585;118;73
Minas Gerais;Cambuí;9018;8924;43;51
Minas Gerais;Área 001;4324;4239;34;51
Minas Gerais;Área 002;4694;4685;9;0
Minas Gerais;Campo Belo;17173;17009;130;34
Minas Gerais;Área 001;4101;4101;0;0
Minas Gerais;Área 002;5823;5823;0;0
Minas Gerais;Área 003;7249;7085;130;34
Minas Gerais;Capelinha;9846;8715;839;292
Minas Gerais;Área 001;4245;3808;345;92
Minas Gerais;Área 002;5601;4907;494;200
Minas Gerais;Carangola;10946;10915;0;31
Minas Gerais;Área 001;4142;4131;0;11
Minas Gerais;Área 002;6804;6784;0;20
Minas Gerais;Caratinga;26660;26211;225;225
Minas Gerais;Área 001;4163;4122;10;31
Minas Gerais;Área 002;4252;4230;11;11
Minas Gerais;Área 003;8308;8191;112;6
Minas Gerais;Área 004;9938;9668;93;176
Minas Gerais;Carmo do Paranaíba;9792;9426;298;68
Minas Gerais;Área 001;4042;3978;64;0
Minas Gerais;Área 002;5750;5448;234;68
Minas Gerais;Cataguases;23002;22934;41;26
Minas Gerais;Área 001;4881;4850;21;10
Minas Gerais;Área 002;5025;5025;0;0
Minas Gerais;Área 003;6351;6331;20;0
Minas Gerais;Área 004;6745;6729;0;16
Minas Gerais;Congonhas;14076;13529;416;130
Minas Gerais;Área 001;5582;5503;9;70
Minas Gerais;Área 002;8494;8026;408;60
Minas Gerais;Conselheiro Lafaiete;35171;35002;93;76
Minas Gerais;Área 001;4600;4592;0;9
Minas Gerais;Área 002;6858;6800;0;58
Minas Gerais;Área 003;5588;5551;28;9
Minas Gerais;Área 004;7319;7254;65;0
Minas Gerais;Área 005;10806;10806;0;0
Minas Gerais;Contagem;184909;180993;3478;437
Minas Gerais;Água Branca;12703;12663;20;20
Minas Gerais;Ceasa;10307;10288;0;19
Minas Gerais;Eldorado Leste;11616;11596;20;0
Minas Gerais;Eldorado Oeste;12378;12290;88;0
Minas Gerais;Inconfidente;10409;10186;199;24
Minas Gerais;Industrial;18704;18229;475;0
Minas Gerais;Laguna;9570;9439;114;17
Minas Gerais;Nacional;17860;17274;461;126
Minas Gerais;Petrolândia;11407;11365;24;18
Minas Gerais;Riacho;18803;18418;385;0
Minas Gerais;São Joaquim;8934;8040;894;0
Minas Gerais;Sede Norte;14357;14326;18;13
Minas Gerais;Sede Sul;12620;12579;41;0
Minas Gerais;Vargem das F;15240;14301;739;201
Minas Gerais;Coromandel;9565;9251;249;65
Minas Gerais;Área 001;4075;4075;0;0
Minas Gerais;Área 002;5490;5176;249;65
Minas Gerais;Coronel Fabriciano;31635;31086;339;210
Minas Gerais;Área 001;5824;5805;9;10
Minas Gerais;Área 002;7573;7554;9;10
Minas Gerais;Área 003;4191;3990;100;101
Minas Gerais;Área 004;6621;6490;51;80
Minas Gerais;Área 005;7426;7247;170;9
Minas Gerais;Curvelo;22676;21289;1036;351
Minas Gerais;Área 001;5026;4946;80;0
Minas Gerais;Área 002;8101;8037;41;23
Minas Gerais;Área 003;9549;8307;915;327
Minas Gerais;Diamantina;12810;12047;616;147
Minas Gerais;Área 001;5345;4754;444;147
Minas Gerais;Área 002;7465;7293;172;0
Minas Gerais;Divinópolis;66633;66143;220;270
Minas Gerais;Região Bom Pastor-Candelária;7879;7839;20;20
Minas Gerais;Região Central-Esplanada;13505;13493;12;0
Minas Gerais;Região Nitéroi-Icaraí;10594;10572;0;23
Minas Gerais;Região Porto Velho-Nações;13935;13855;20;60
Minas Gerais;Região Rural-Periurbana;4746;4528;87;130
Minas Gerais;Região Santo Antônio dos Campos-Tiête;5055;4980;62;13
Minas Gerais;Região São José-Belvedere;10919;10876;19;24
Minas Gerais;Esmeraldas;17506;16284;348;874
Minas Gerais;Área 001;8360;7509;185;666
Minas Gerais;Área 002;9146;8775;162;208
Minas Gerais;Espinosa;8479;6820;755;905
Minas Gerais;Área 001;3981;2702;465;814
Minas Gerais;Área 002;4498;4118;290;90
Minas Gerais;Formiga;21279;20988;123;167
Minas Gerais;Área 001;5098;5065;12;21
Minas Gerais;Área 002;8047;7871;52;124
Minas Gerais;Área 003;8134;8053;59;22
Minas Gerais;Frutal;17975;17428;447;100
Minas Gerais;Área 001;7453;7172;266;16
Minas Gerais;Área 002;10522;10256;181;84
Minas Gerais;Governador Valadares;81785;80889;532;363
Minas Gerais;Área 001;5745;5435;108;202
Minas Gerais;Área 002;6519;6478;42;0
Minas Gerais;Área 003;6795;6724;61;10
Minas Gerais;Área 004;5841;5643;146;53
Minas Gerais;Área 005;5485;5402;11;72
Minas Gerais;Área 006;6965;6965;0;0
Minas Gerais;Área 007;4855;4806;41;7
Minas Gerais;Área 008;6045;6036;9;0
Minas Gerais;Área 009;4943;4943;0;0
Minas Gerais;Área 010;9705;9695;10;0
Minas Gerais;Área 011;5783;5763;0;19
Minas Gerais;Área 012;7164;7059;105;0
Minas Gerais;Área 013;5940;5940;0;0
Minas Gerais;Guanhães;9366;8736;196;434
Minas Gerais;Área 001;4134;4123;11;0
Minas Gerais;Área 002;5232;4612;186;434
Minas Gerais;Guaxupé;15608;15589;0;18
Minas Gerais;Área 001;7846;7836;0;10
Minas Gerais;Área 002;7762;7753;0;9
Minas Gerais;Ibirité;46236;45599;579;58
Minas Gerais;Área 001;4453;4185;268;0
Minas Gerais;Área 002;4142;4124;18;0
Minas Gerais;Área 003;5374;5238;136;0
Minas Gerais;Área 004;5412;5393;19;0
Minas Gerais;Área 005;8257;8233;10;13
Minas Gerais;Área 006;4871;4792;79;0
Minas Gerais;Área 007;4494;4482;0;12
Minas Gerais;Área 008;9233;9153;47;33
Minas Gerais;Igarapé;10356;10109;82;166
Minas Gerais;Área 001;4397;4271;40;87
Minas Gerais;Área 002;5959;5838;42;79
Minas Gerais;Ipatinga;72883;72163;330;390
Minas Gerais;Área 001;6068;6062;6;0
Minas Gerais;Área 002;6271;6237;24;10
Minas Gerais;Área 003;7252;7194;0;58
Minas Gerais;Área 004;7837;7806;12;19
Minas Gerais;Área 005;5951;5870;37;44
Minas Gerais;Área 006;5506;5467;15;24
Minas Gerais;Área 007;6787;6731;0;56
Minas Gerais;Área 008;6383;6332;10;41
Minas Gerais;Área 009;4779;4756;23;0
Minas Gerais;Área 010;5163;4974;163;27
Minas Gerais;Área 011;5261;5159;0;102
Minas Gerais;Área 012;5625;5574;41;10
Minas Gerais;Itabira;31729;30941;508;280
Minas Gerais;Área 001;4851;4396;230;225
Minas Gerais;Área 002;6453;6401;39;13
Minas Gerais;Área 003;5409;5389;20;0
Minas Gerais;Área 004;7613;7538;41;35
Minas Gerais;Área 005;7403;7218;178;7
Minas Gerais;Itabirito;13243;13163;69;11
Minas Gerais;Área 001;6108;6052;56;0
Minas Gerais;Área 002;7135;7111;13;11
Minas Gerais;Itajubá;27909;27453;394;62
Minas Gerais;Área 001;4229;4047;182;0
Minas Gerais;Área 002;9917;9676;202;40
Minas Gerais;Área 003;6415;6389;11;15
Minas Gerais;Área 004;7348;7340;0;7
Minas Gerais;Itamarandiba;8967;7929;573;465
Minas Gerais;Área 001;4231;3324;451;456
Minas Gerais;Área 002;4736;4605;122;9
Minas Gerais;Itaúna;26635;26190;388;57
Minas Gerais;Área 001;4312;4303;0;8
Minas Gerais;Área 002;7670;7657;13;0
Minas Gerais;Área 003;6696;6541;155;0
Minas Gerais;Área 004;7957;7689;220;48
Minas Gerais;Ituiutaba;32360;31782;293;285
Minas Gerais;Área 001;3965;3905;48;11
Minas Gerais;Área 002;6515;6456;37;22
Minas Gerais;Área 003;4599;4532;55;12
Minas Gerais;Área 004;5078;4816;69;193
Minas Gerais;Área 005;5468;5417;43;9
Minas Gerais;Área 006;6736;6656;41;39
Minas Gerais;Iturama;11112;10455;537;120
Minas Gerais;Área 001;4410;4354;46;10
Minas Gerais;Área 002;6701;6101;491;110
Minas Gerais;Jaíba;8940;7781;770;389
Minas Gerais;Área 001;4337;3780;387;169
Minas Gerais;Área 002;4603;4001;382;220
Minas Gerais;Janaúba;18364;16589;1325;450
Minas Gerais;Área 001;6061;4992;713;356
Minas Gerais;Área 002;6111;5742;352;17
Minas Gerais;Área 003;6191;5855;260;76
Minas Gerais;Januária;17382;14048;1499;1835
Minas Gerais;Área 001;7295;6857;366;72
Minas Gerais;Área 002;10086;7190;1133;1763
Minas Gerais;João Monlevade;22173;22092;18;63
Minas Gerais;Área 001;5049;5037;0;12
Minas Gerais;Área 002;8398;8398;0;0
Minas Gerais;Área 003;8726;8657;18;51
Minas Gerais;João Pinheiro;13578;12953;426;199
Minas Gerais;Área 001;6368;5761;417;190
Minas Gerais;Área 002;7210;7192;9;9
Minas Gerais;Juiz de Fora;170487;168397;1524;565
Minas Gerais;Área 001;15627;14718;794;115
Minas Gerais;Área 002;10996;10779;217;0
Minas Gerais;Área 003;11386;11334;0;52
Minas Gerais;Área 004;16607;16312;274;21
Minas Gerais;Área 005;8962;8962;0;0
Minas Gerais;Área 006;11138;11120;18;0
Minas Gerais;Área 007;16396;16340;21;36
Minas Gerais;Área 008;10911;10831;44;36
Minas Gerais;Área 009;8792;8773;0;19
Minas Gerais;Área 010;14469;14342;72;54
Minas Gerais;Área 011;9510;9479;0;31
Minas Gerais;Área 012;9410;9390;20;0
Minas Gerais;Área 013;13709;13560;22;127
Minas Gerais;Área 014;12575;12458;42;75
Minas Gerais;Lagoa da Prata;14013;13913;49;51
Minas Gerais;Área 001;6989;6930;13;46
Minas Gerais;Área 002;7024;6983;36;5
Minas Gerais;Lagoa Santa;15736;15322;337;78
Minas Gerais;Área 001;7691;7539;86;66
Minas Gerais;Área 002;8045;7782;251;12
Minas Gerais;Lavras;28950;28447;438;65
Minas Gerais;Área 001;4215;4215;0;0
Minas Gerais;Área 002;4431;4382;49;0
Minas Gerais;Área 003;4435;4206;230;0
Minas Gerais;Área 004;5954;5750;147;57
Minas Gerais;Área 005;9914;9894;12;8
Minas Gerais;Leopoldina;16496;16408;72;16
Minas Gerais;Área 001;8105;8035;62;8
Minas Gerais;Área 002;8391;8373;10;8
Minas Gerais;Machado;11468;11434;14;20
Minas Gerais;Área 001;4112;4105;7;0
Minas Gerais;Área 002;7356;7329;6;20
Minas Gerais;Manhuaçu;24191;23842;259;89
Minas Gerais;Área 001;5871;5662;183;25
Minas Gerais;Área 002;7893;7794;56;43
Minas Gerais;Área 003;10427;10386;20;21
Minas Gerais;Mantena;8947;8752;140;56
Minas Gerais;Área 001;4112;4104;0;8
Minas Gerais;Área 002;4835;4648;140;47
Minas Gerais;Mariana;15894;15554;237;103
Minas Gerais;Área 001;5601;5558;21;22
Minas Gerais;Área 002;10293;9996;216;81
Minas Gerais;Mateus Leme;8569;8184;292;93
Minas Gerais;Área 001;4100;4002;52;47
Minas Gerais;Área 002;4469;4182;240;47
Minas Gerais;Monte Carmelo;14942;14723;175;44
Minas Gerais;Área 001;6126;6117;9;0
Minas Gerais;Área 002;8815;8606;166;44
Minas Gerais;Montes Claros;104013;100800;2420;793
Minas Gerais;Carmelo;4360;4266;66;28
Minas Gerais;Centro;4801;4768;33;0
Minas Gerais;Cidade Industrial;4771;4557;186;29
Minas Gerais;Cidade Nova;4716;4650;66;0
Minas Gerais;Cintra;4184;4048;69;66
Minas Gerais;Delfim Magalhães;4643;4617;14;12
Minas Gerais;Ibituruna;4762;4733;22;8
Minas Gerais;Jardim Alvorada;5656;5468;177;11
Minas Gerais;Jardim Eldorado;4242;4135;100;8
Minas Gerais;Jardim Primavera;5888;5738;140;10
Minas Gerais;Jardim São Luiz;4783;4714;61;8
